name,location,rest_type,online_order,book_table,rate,votes,approx_cost,cuisines,listed_in_type,listed_in_city,price_segment,rating_category
Jalsa,Banashankari,Casual Dining,Yes,Yes,4.1,775,800,"North Indian, Mughlai, Chinese",Buffet,Banashankari,High,Excellent
Spice Elephant,Banashankari,Casual Dining,Yes,No,4.1,787,800,"Chinese, North Indian, Thai",Buffet,Banashankari,High,Excellent
San Churro Cafe,Banashankari,"Cafe, Casual Dining",Yes,No,3.8,918,800,"Cafe, Mexican, Italian",Buffet,Banashankari,High,Average
Addhuri Udupi Bhojana,Banashankari,Quick Bites,No,No,3.7,88,300,"South Indian, North Indian",Buffet,Banashankari,Medium,Average
Grand Village,Basavanagudi,Casual Dining,No,No,3.8,166,600,"North Indian, Rajasthani",Buffet,Banashankari,Medium,Average
Timepass Dinner,Basavanagudi,Casual Dining,Yes,No,3.8,286,600,North Indian,Buffet,Banashankari,Medium,Average
Onesta,Banashankari,"Casual Dining, Cafe",Yes,Yes,4.6,2556,600,"Pizza, Cafe, Italian",Cafes,Banashankari,Medium,Excellent
Penthouse Cafe,Banashankari,Cafe,Yes,No,4.0,324,700,"Cafe, Italian, Continental",Cafes,Banashankari,Medium,Excellent
Smacznego,Banashankari,Cafe,Yes,No,4.2,504,550,"Cafe, Mexican, Italian, Momos, Beverages",Cafes,Banashankari,Medium,Excellent
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,Yes,No,4.1,402,500,Cafe,Cafes,Banashankari,Medium,Excellent
Cafe Shuffle,Banashankari,Cafe,Yes,Yes,4.2,150,600,"Cafe, Italian, Continental",Cafes,Banashankari,Medium,Excellent
The Coffee Shack,Banashankari,Cafe,Yes,Yes,4.2,164,500,"Cafe, Chinese, Continental, Italian",Cafes,Banashankari,Medium,Excellent
Caf-Eleven,Banashankari,Cafe,No,No,4.0,424,450,"Cafe, Continental",Cafes,Banashankari,Medium,Excellent
San Churro Cafe,Banashankari,"Cafe, Casual Dining",Yes,No,3.8,918,800,"Cafe, Mexican, Italian",Cafes,Banashankari,High,Average
Cafe Vivacity,Banashankari,Cafe,Yes,No,3.8,90,650,Cafe,Cafes,Banashankari,Medium,Average
Catch-up-ino,Banashankari,Cafe,Yes,No,3.9,133,800,"Cafe, Fast Food, Continental, Chinese, Momos",Cafes,Banashankari,High,Average
Kirthi's Biryani,Banashankari,Cafe,Yes,No,3.8,144,700,"Chinese, Cafe, Italian",Cafes,Banashankari,Medium,Average
T3H Cafe,Banashankari,Cafe,No,No,3.9,93,300,"Cafe, Italian, American",Cafes,Banashankari,Medium,Average
The Vintage Cafe,Banashankari,Cafe,Yes,No,3.0,62,400,"Cafe, French, North Indian",Cafes,Banashankari,Medium,Average
Woodee Pizza,Banashankari,Cafe,Yes,No,3.7,180,500,"Cafe, Pizza, Fast Food, Beverages",Cafes,Banashankari,Medium,Average
My Tea House,Banashankari,"Quick Bites, Cafe",Yes,No,3.6,62,600,"Italian, Fast Food, Cafe, European",Cafes,Banashankari,Medium,Average
Srinathji's Cafe,Basavanagudi,"Casual Dining, Cafe",No,No,3.8,148,550,"North Indian, Cafe, Chinese, Fast Food",Cafes,Banashankari,Medium,Average
Redberrys,Basavanagudi,Cafe,Yes,No,4.0,219,600,"Cafe, Italian",Cafes,Banashankari,Medium,Excellent
Foodiction,Banashankari,Quick Bites,Yes,No,2.8,506,500,"North Indian, Fast Food, Chinese, Burger",Delivery,Banashankari,Medium,Poor
Ovenstory Pizza,Banashankari,Delivery,Yes,No,3.9,172,750,Pizza,Delivery,Banashankari,High,Average
Faasos,Banashankari,Quick Bites,Yes,No,4.2,415,500,"North Indian, Biryani, Fast Food",Delivery,Banashankari,Medium,Excellent
Behrouz Biryani,Banashankari,Delivery,Yes,No,3.9,230,650,Biryani,Delivery,Banashankari,Medium,Average
Szechuan Dragon,Banashankari,Casual Dining,Yes,No,4.2,1647,600,"Chinese, Thai, Momos",Delivery,Banashankari,Medium,Excellent
Empire Restaurant,Jayanagar,Casual Dining,Yes,No,4.4,4884,750,"North Indian, Mughlai, South Indian, Chinese",Delivery,Banashankari,High,Excellent
Chaatimes,Basavanagudi,Quick Bites,Yes,No,3.8,133,200,"Street Food, Fast Food",Delivery,Banashankari,Low,Average
McDonald's,Banashankari,Quick Bites,Yes,No,3.9,286,500,"Burger, Fast Food",Delivery,Banashankari,Medium,Average
Domino's Pizza,Banashankari,Quick Bites,Yes,No,3.9,540,800,"Pizza, Fast Food",Delivery,Banashankari,High,Average
Onesta,Banashankari,"Casual Dining, Cafe",Yes,Yes,4.6,2556,600,"Pizza, Cafe, Italian",Delivery,Banashankari,Medium,Excellent
Hotboxit,Banashankari,Delivery,No,No,3.8,36,400,"North Indian, Continental, Italian",Delivery,Banashankari,Medium,Average
Kitchen Garden,Kumaraswamy Layout,Quick Bites,Yes,No,3.6,244,300,"North Indian, Chinese",Delivery,Banashankari,Medium,Average
Recipe,Kumaraswamy Layout,Casual Dining,Yes,No,4.0,804,450,"North Indian, Chinese, Biryani, Rolls",Delivery,Banashankari,Medium,Excellent
Beijing Bites,Rajarajeshwari Nagar,Casual Dining,Yes,No,3.7,679,850,"Chinese, Thai",Delivery,Banashankari,High,Average
Tasty Bytes,Kumaraswamy Layout,Quick Bites,Yes,No,3.1,245,300,"North Indian, Chinese, Momos, Rolls",Delivery,Banashankari,Medium,Average
Corner House Ice Cream,Banashankari,Dessert Parlor,No,No,4.3,345,400,"Ice Cream, Desserts",Delivery,Banashankari,Medium,Excellent
Biryanis And More,Jayanagar,Casual Dining,Yes,No,4.0,618,750,"Biryani, North Indian, Chinese, Andhra, South Indian",Delivery,Banashankari,High,Excellent
Roving Feast,Banashankari,Quick Bites,No,No,4.0,1047,450,"Italian, Continental, Fast Food, Chinese, Momos",Delivery,Banashankari,Medium,Excellent
FreshMenu,Banashankari,Delivery,Yes,No,3.9,627,450,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,Banashankari,Medium,Average
Wamama,Banashankari,Casual Dining,Yes,Yes,4.2,354,800,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",Delivery,Banashankari,High,Excellent
Peppy Peppers,Banashankari,Casual Dining,No,No,4.2,244,800,"Italian, North Indian, Mexican",Delivery,Banashankari,High,Excellent
Goa 0 Km,Kumaraswamy Layout,Casual Dining,Yes,Yes,3.6,163,800,"Goan, Seafood, North Indian, Chinese, Biryani",Delivery,Banashankari,High,Average
1947,Banashankari,Casual Dining,No,Yes,4.0,808,850,"North Indian, Chinese",Delivery,Banashankari,High,Excellent
Kabab Magic,Basavanagudi,Quick Bites,Yes,No,4.1,1720,400,"North Indian, Kebab, Chinese, Fast Food",Delivery,Banashankari,Medium,Excellent
Gustoes Beer House,Banashankari,Pub,No,No,4.1,868,1200,"Continental, Italian, Mexican, North Indian, Chinese, Steak",Delivery,Banashankari,High,Excellent
The Biryani Cafe,Banashankari,Quick Bites,No,No,4.1,520,300,"Biryani, Chinese, Kebab",Delivery,Banashankari,Medium,Excellent
Rolls On Wheels,Banashankari,Quick Bites,No,No,3.6,299,300,"Fast Food, Rolls, Momos",Delivery,Banashankari,Medium,Average
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Quick Bites,Yes,No,4.1,558,150,South Indian,Delivery,Banashankari,Low,Excellent
Upahar Sagar,Banashankari,Quick Bites,No,No,3.8,39,350,"South Indian, Chinese, North Indian",Delivery,Banashankari,Medium,Average
Frozen Bottle,Banashankari,Beverage Shop,Yes,No,4.2,146,400,"Beverages, Desserts, Ice Cream",Delivery,Banashankari,Medium,Excellent
Meghana Foods,Jayanagar,Casual Dining,Yes,No,4.4,4401,600,"Biryani, North Indian, Chinese",Delivery,Banashankari,Medium,Excellent
Nandhini Deluxe,Banashankari,Casual Dining,No,No,2.6,283,600,North Indian,Delivery,Banashankari,Medium,Poor
Vi Ra's Bar and Restaurant,Banashankari,Bar,No,No,3.3,62,800,"South Indian, North Indian, Chinese",Delivery,Banashankari,High,Average
Chatar Patar,Banashankari,Quick Bites,No,No,3.7,65,300,"Fast Food, Street Food",Delivery,Banashankari,Medium,Average
Polar Bear,Basavanagudi,Dessert Parlor,Yes,No,3.8,71,400,"Ice Cream, Desserts, Beverages, Sandwich",Delivery,Banashankari,Medium,Average
Kidambi's Kitchen,Banashankari,Quick Bites,No,No,3.5,52,300,South Indian,Delivery,Banashankari,Medium,Average
Mane Thindi,Banashankari,Quick Bites,No,No,3.7,130,200,South Indian,Delivery,Banashankari,Low,Average
Floured-Baked With Love,Banashankari,"Takeaway, Delivery",No,No,3.8,45,400,Bakery,Delivery,Banashankari,Medium,Average
Bengaluru Coffee House,Banashankari,Quick Bites,Yes,No,4.1,201,300,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,Medium,Excellent
Anna Kuteera,Banashankari,Casual Dining,Yes,No,4.0,771,450,"South Indian, North Indian, Chinese",Delivery,Banashankari,Medium,Excellent
Darbar,Banashankari,Bar,No,No,3.0,98,800,"North Indian, Chinese",Delivery,Banashankari,High,Average
Sri Udupi Food Hub,Jayanagar,Casual Dining,Yes,Yes,4.1,175,500,"South Indian, North Indian, Chinese, Beverages",Delivery,Banashankari,Medium,Excellent
House Of Kebabs,Basavanagudi,Casual Dining,Yes,No,3.8,540,650,"North Indian, Kebab, Biryani, Chinese",Delivery,Banashankari,Medium,Average
Roll N Rock,Kumaraswamy Layout,Quick Bites,Yes,No,3.8,124,400,"Chinese, North Indian, Mughlai, Rolls",Delivery,Banashankari,Medium,Average
BOX8- Desi Meals,Banashankari,"Takeaway, Delivery",Yes,No,4.1,340,500,"North Indian, Mughlai, Fast Food",Delivery,Banashankari,Medium,Excellent
KFC,Banashankari,Quick Bites,Yes,No,3.8,505,450,"Burger, Fast Food",Delivery,Banashankari,Medium,Average
Roll Over,Jayanagar,Dessert Parlor,Yes,No,4.1,438,500,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",Delivery,Banashankari,Medium,Excellent
Imperial Restaurant,Mysore Road,Casual Dining,Yes,No,3.7,264,750,"North Indian, Chinese, Biryani, Beverages",Delivery,Banashankari,High,Average
Wahab,Jayanagar,Quick Bites,Yes,No,3.7,97,350,"North Indian, Mughlai, Chinese",Delivery,Banashankari,Medium,Average
Canton,Jayanagar,Casual Dining,Yes,No,3.6,195,800,"Chinese, Seafood, Biryani",Delivery,Banashankari,High,Average
The Blue Wagon - Kitchen,Jayanagar,Cafe,Yes,No,4.6,228,400,"Cafe, Beverages",Delivery,Banashankari,Medium,Excellent
Patio 805,Jayanagar,Casual Dining,Yes,Yes,4.1,364,1200,"Thai, Vietnamese, Asian, Chinese",Delivery,Banashankari,High,Excellent
Lassi Corner,Basavanagudi,Beverage Shop,Yes,No,3.7,107,150,"Beverages, Ice Cream",Delivery,Banashankari,Low,Average
